day,confirmed,deaths
0,167,4
1,219,4
2,264,9
3,306,10
4,350,10
5,386,11
6,456,17
7,487,17
8,1323,49
9,1408,53
10,1485,53
11,1550,54
12,1622,58
13,1804,62
14,2223,78
15,2270,79
16,2353,84
17,2416,84
18,2601,98
19,2671,103
20,2722,106
21,2781,111
22,2890,116
23,2960,119
24,3169,144
25,3235,154
26,3293,159
27,3389,165
28,3547,182
29,3547,182
30,3861,217
31,3947,229
32,4288,251
33,4439,263
34,4649,274
35,4836,293
36,5050,321
37,5462,353
38,5663,372
39,5865,391
40,6054,417
41,6234,435
42,6583,461
43,6727,478
44,6903,495
45,7053,506
46,7183,514
47,7296,526
48,7447,552
49,7548,573
50,7628,587
51,7699,598
52,7739,611
53,7761,623
54,7864,643
55,7919,662
56,7956,666
57,8046,682
58,8117,689
59,8141,696
60,8202,725
61,8221,735
62,8240,745
63,8295,750
64,8317,754
65,8360,764
66,8384,770
67,8398,772
68,8402,772
69,8403,775
70,8404,779
71,8421,784
72,8430,789
73,8435,789
74,8445,790
75,8454,792
76,8460,799
77,8464,799
78,8465,801
79,8462,804
80,8461,804
81,8459,805
82,8458,807
83,8460,808
84,8456,809
85,8450,810
86,8447,811
87,8445,812
88,8442,812
89,8439,812
90,8439,812
91,8439,812
92,8436,812
93,8436,812
94,8437,812
95,8437,813
